,Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Years_Of_Establishment,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Size_Unknown,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Item_Type_Code_Drink,Item_Type_Code_Food,Item_Type_Code_Non Consumable,Item_Fat_Content_Low Fat,Item_Fat_Content_N/A,Item_Fat_Content_Regular,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
0,9.3,0.016047301,249.8092,3735.138,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,5.92,0.019278216,48.2692,443.4228,10,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
2,17.5,0.016760075,141.618,2097.27,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
3,19.2,0.06851294287337671,182.095,732.38,21,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
4,8.93,0.061322312856043934,53.8614,994.7052,32,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
5,10.395,0.06916929969598755,51.4008,556.6088,10,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
6,13.65,0.012741088999999999,57.6588,343.5528,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
7,19.0,0.127469857,107.7622,4022.7636,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
8,16.2,0.016687114,96.9726,1076.5986,17,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
9,19.2,0.09444959,187.8214,4710.535,12,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
10,11.8,0.06851294287337671,45.5402,1516.0266,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
11,18.5,0.045463773,144.1102,2187.153,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
